"Nom de l'église";"Ville";"Région";"Adresse complète";"Pasteur / Responsable";"Actif"
"Centre chrétien";"Belfort";"Bourgogne-Franche-Comté";"N/A";"N/A";"Oui"
"Église de la vallée";"Belle-Isle-en-Terre";"Bretagne";"N/A";"N/A";"Oui"
"Église évangélique de Lannion";"Lannion";"Bretagne";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte de Saint-Brieuc";"Saint-Brieuc";"Bretagne";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Bourg-en-Bresse";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Oyonnax";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte – Belley";"Belley";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique de Laon";"Laon";"Hauts-de-France";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Vichy";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Gannat";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique";"Montluçon";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique Assemblée de Dieu";"Moulins";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Centre évangélique de Manosque";"Manosque";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église évangélique de Digne";"Digne-les-Bains";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église évangélique de Sisteron";"Sisteron";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Veynes";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Centre évangélique de Briançon";"Briançon";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église évangélique";"Gap";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église évangélique d'Embrun – ADD";"Embrun";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Nice";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée de Dieu de Cannes – Église du Rocher";"Cannes";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée de Dieu Viens et Vois";"Nice";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée évangélique";"Saint-Laurent-du-Var";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Assemblée évangélique";"Cagnes-sur-Mer";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Centre évangélique";"Nice";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église Antibes Côte d'Azur";"Antibes";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église de la Riviera";"Beausoleil";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église Unity Côte d'Azur";"Antibes";"Provence-Alpes-Côte d'Azur";"N/A";"N/A";"Oui"
"Église Connexion Aubenas";"Aubenas";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"La Voulte-sur-Rhône";"Auvergne-Rhône-Alpes";"N/A";"N/A";"Oui"
"Assemblée de Dieu Mission chrétienne";"Charleville-Mézières";"Grand Est";"N/A";"N/A";"Oui"
"Mission chrétienne";"Sedan";"Grand Est";"N/A";"N/A";"Oui"
"Assemblée de Dieu de l'Ariège";"Lavelanet";"Occitanie";"N/A";"N/A";"Oui"
"Mission évangélique de Troyes";"Sainte Savine";"Grand Est";"N/A";"N/A";"Oui"
"Mission chrétienne évangélique";"Romilly Sur Seine";"Grand Est";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Castelnaudary";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée de Dieu";"Carcassonne";"Occitanie";"N/A";"N/A";"Oui"
"Assemblée évangélique La Délivrance";"Limoux";"Occitanie";"N/A";"N/A";"Oui"
"Église évangélique de Pentecôte";"Lezignan Corbières";"Occitanie";"N/A";"N/A";"Oui"
