"Pays";"Nom de l'église";"Ville";"Région EEADCI";"District administratif";"Adresse complète";"Pasteur / Responsable";"Actif"
"Côte d'Ivoire";"Assemblée de Dieu de ABENGOUROU";"ABENGOUROU";"Abengourou";"Comoé";"N/A";"ANZOUAN MARTIN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABENGOUROU";"ABENGOUROU";"Abengourou";"Comoé";"N/A";"BAMBA LOHI";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABENGOUROU";"ABENGOUROU";"Abengourou";"Comoé";"N/A";"KOUADIO BINI KOFFI";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABENGOUROU";"ABENGOUROU";"Abengourou";"Comoé";"N/A";"N/A";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABENGOUROU";"ABENGOUROU";"Abengourou";"Comoé";"N/A";"BEUGRE LAGAH THEOPHILE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABENGOUROU";"ABENGOUROU";"Abengourou";"Comoé";"N/A";"N'GUESSAN KONAN DENIS - ASSI N'CHO ANTOINE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABENGOUROU";"ABENGOUROU";"Abengourou";"Comoé";"N/A";"DOGBE DANIEL MESMIN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABENGOUROU";"ABENGOUROU";"Abengourou";"Comoé";"N/A";"KONAN N'ZOUE RENE - N'GUESSAN BROUH JSA";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABRONAMOUE";"ABRONAMOUE";"Abengourou";"Comoé";"N/A";"ADJEHODA TIOGBE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de AFFALIKRO";"AFFALIKRO";"Abengourou";"Comoé";"N/A";"KOUASSI EHOUNOU ISMAEL";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de AMELEKIA";"AMELEKIA";"Abengourou";"Comoé";"N/A";"APPIA N'DOUA";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ANEYKRO";"ANEYKRO";"Abengourou";"Comoé";"N/A";"YOCOLI KOUAME";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ANIASSUE";"ANIASSUE";"Abengourou";"Comoé";"N/A";"KOUADIO BROU";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de APPOISSO";"APPOISSO";"Abengourou";"Comoé";"N/A";"NIAMIEN BI GOLE PATTERSON";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de APPROMPRONOU";"APPROMPRONOU";"Abengourou";"Comoé";"N/A";"YAO KOUADIO JEAN MARIE - DOUAYE RICHARD";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ASSAKRO";"ASSAKRO";"Abengourou";"Comoé";"N/A";"KOFFI KOUAME MEDARD";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de BETTIE";"BETTIE";"Abengourou";"Comoé";"N/A";"GOHORE BI ZOUA - KOUDOU AKRE DANIEL";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"YAI EUVERTE - SAWADOGO SALOMON - ASSANVO FAMIEN EUGENE - GUEDE NICOLAS";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"BROU N'GUESSAN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"GREBO BLAISE - DAGUE MAXIME";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"TCHOTCHO EBOU NICODEME - BOULOU VALENTIN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"N'GUESSAN BRAHIMAN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"SEREGOUE JEAN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"BOHUI WALLET JEAN-CLAUDE - BADA LEGRE DOMINIQUE - DEDI DALI - KOFFI N'GUESSAN KOUASSI MATHIAS - KOUASSI KOUAME SYLVAIN - BOKO KOUADIO DOMINIQUE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"SITA ALEXIS DOMINIQUE - AKPOUE YAO VALENTIN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"NASSE FERDINAND - GUEDE AFFRI ARMEL";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"NOUFE SIE - VONOPOU VANGAH DANIEL - ANEY KOUASSI - AMON KOUTOUA DAVID";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"N'DIR MAMOUR - OURAGA NARCISSE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"KOUADIO KOSSONOU - N'DATTIEN KOFFI ALEXIS";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"ADIO ZILIGALO INNOCENT";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"DOUDOU NEAN JEAN CLAUDE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"ZADI NAHI DJEDJE RAPHAEL - BEHE GUY FRANCIS";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"GNEPA HIE FELIX - KOUADIO ATSIN ABRAHAM";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"ZOUNGRANA MANESSOMDE ABEL - AHOTONDJI PARFAIT COOVI";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"BOHUI SERY MARCEL - GBOGOU GEDEON";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"GBOAGNON SERI APPOLINAIRE - AYOMAN ACKA MATHIEU - BOSSO N'GUESSAN MAURICE - KPLAHO KOUHON INNOCENT";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"KOFFI KONAN EUGENE - LEZIE BI DJE THEODORE - GUEDE SIMON PIERRE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"GBODJO FIRMIN - ADJOUMANI KOUAME BENOIT";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"ADOU JEAN MARIE - ANO TIEMELE FULGENCE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"TIACOH JEAN MARIE - COULIBALY PREFINAH ALHASSANE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"KOUTOUAN ASSAGOU CLAVER - GNAPI GUEDE HENOC HERVE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"DOU BI KOUAI ROSSELYN - DAYORO GNAPO MAXIME - YAO THOMAS";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"KOUAKOU KONAN MELAINE - AKOKO HIPPOLYTE N'GUESSAN - PLOTO MICHEL";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"KONAN KOUAME DOMINIQUE - TAPE CELESTIN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"KOUYO YABEHI FAUSTIN - ZANLI BI SANHI FREDERICK - ASSIE KOUAKOU JEAN CLEMENT";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"BAMBA SOGANA - OUEDRAOGO FILMON";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"OUEDRAOGO ADAMA - KAMBOU BANAH - BAYORO KREBE BASILE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"NIELBIEN JEAN BAPTISTE - N'DOUBAH EBAH N'DRAMAN BARTHELEMY";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"BADOU KOUAME BINI - ATSE AKOKO GHISLAIN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"LOKPO TCHTETCHE APPOLINAIRE - KOFFI KOUASSI THOEDORE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"KONDE CHARLES MARIE - EHOUMAN KOUADIO JEAN - KOUASSI YAO JEAN BAPTISTE - BEDO KOKORA JEAN DIDIER";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"ASSI SOMBO DAMASE - DJE KONAN JULIEN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Est";"Abidjan";"N/A";"SEPE GNAKOURI FRANCIS - KOUADIO FIENI MARIUS - N'GUESSAN YAO ISRAEL";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de BINGERVILLE";"BINGERVILLE";"Abidjan-Est";"Abidjan";"N/A";"LOKPO CLAUDE BAHI";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de BINGERVILLE";"BINGERVILLE";"Abidjan-Est";"Abidjan";"N/A";"ESSI ANOH JEAN CHARLES - AGODIO MARCELLIN - KOUAME ISAAC - MONNEY SEKA DANIEL";"Oui"
